cntrQ,bslnA,bslnB,bslnC,bslnLikert,focus,focusDiff,totalDiff,maskDiff,flip
cntrQ_196,12.87,28.33,36.81,false,WHAT_Ql,Hard,HHM,easy,f
cntrQ_197,7.08,21.24,27.68,false,WHAT_Ql,Hard,HHH,easy,f
cntrQ_198,27.36,71.6,29.62,true,WHAT_Ql,Hard,EHE,easy,f
cntrQ_199,9.56,33.47,28.89,false,WHAT_Ql,Hard,EHM,medium,f
cntrQ_200,9.32,21.44,39.86,true,WHAT_Ql,Hard,EHH,medium,f
cntrQ_201,13.05,58.62,26.1,true,WHAT_Ql,Hard,MHE,medium,f
cntrQ_202,20.06,44.15,33.33,false,WHAT_Ql,Hard,MHM,medium,f
cntrQ_203,33.97,65.7,46.25,true,WHAT_Ql,Hard,MHH,medium,f
cntrQ_204,9.09,19.81,41.25,false,WHAT_Ql,Hard,HHE,medium,f
cntrQ_205,13.03,28.33,31.06,true,WHAT_Ql,Hard,HHM,medium,f
cntrQ_206,3.86,21.24,22.1,true,WHAT_Ql,Hard,HHH,medium,f
cntrQ_207,34.77,71.6,39.71,true,WHAT_Ql,Hard,EHE,medium,f
cntrQ_208,6.23,33.47,19.54,true,WHAT_Ql,Hard,EHM,hard,f
cntrQ_209,4.19,21.44,17.94,true,WHAT_Ql,Hard,EHH,hard,f
cntrQ_210,21.68,58.62,32.3,false,WHAT_Ql,Hard,MHE,hard,f
cntrQ_211,4.18,44.15,15,true,WHAT_Ql,Hard,MHM,hard,f
cntrQ_212,14.35,65.7,19.13,false,WHAT_Ql,Hard,MHH,hard,f
cntrQ_213,6.75,19.81,24.24,false,WHAT_Ql,Hard,HHE,hard,f
cntrQ_214,3.78,28.33,18.33,false,WHAT_Ql,Hard,HHM,hard,f
cntrQ_215,1.93,21.24,15.45,true,WHAT_Ql,Hard,HHH,hard,f
cntrQ_216,9.46,71.6,13.58,true,WHAT_Ql,Hard,EHE,hard,f
cntrQ_217,48.85,39.08,12.4,true,WHERE,Hard,EMH,easy,f
cntrQ_218,22.17,28.05,8.07,false,WHERE,Hard,EHH,easy,f
cntrQ_219,35.51,24.71,26.84,false,WHERE,Hard,MEH,easy,f
cntrQ_220,52.18,31.26,6.35,true,WHERE,Hard,MMH,easy,f
cntrQ_221,41.8,44.37,50.1,false,WHERE,Hard,MHH,easy,f
cntrQ_222,42.4,37.7,23.71,true,WHERE,Hard,HEH,easy,f
cntrQ_223,21.91,24.89,24.17,false,WHERE,Hard,HMH,easy,f
cntrQ_224,31.14,25.28,18.89,false,WHERE,Hard,HHH,easy,f
cntrQ_225,49.78,35.45,27.77,true,WHERE,Hard,EEH,easy,f
cntrQ_226,39.89,39.08,24.27,true,WHERE,Hard,EMH,medium,f
cntrQ_227,25.72,28.05,24.53,false,WHERE,Hard,EHH,medium,f
cntrQ_228,25.06,24.71,23.68,false,WHERE,Hard,MEH,medium,f
cntrQ_229,31.24,31.26,20.52,true,WHERE,Hard,MMH,medium,f
cntrQ_230,31.76,44.37,13.79,true,WHERE,Hard,MHH,medium,f
cntrQ_231,37.33,37.7,28.57,false,WHERE,Hard,HEH,medium,f
cntrQ_232,22.9,24.89,34.76,true,WHERE,Hard,HMH,medium,f
cntrQ_233,25.64,25.28,36.74,true,WHERE,Hard,HHH,medium,f
cntrQ_234,39.52,35.45,30.11,true,WHERE,Hard,EEH,medium,f
cntrQ_235,38.9,39.08,47.49,true,WHERE,Hard,EMH,hard,f
cntrQ_236,28.77,28.05,34.16,true,WHERE,Hard,EHH,hard,f
cntrQ_237,19.06,24.71,26.66,false,WHERE,Hard,MEH,hard,f
cntrQ_238,31.24,31.26,34.97,true,WHERE,Hard,MMH,hard,f
cntrQ_239,30.98,44.37,17.24,true,WHERE,Hard,MHH,hard,f
cntrQ_240,34.78,37.7,31.71,false,WHERE,Hard,HEH,hard,f
cntrQ_241,25.09,24.89,16.22,false,WHERE,Hard,HMH,hard,f
cntrQ_242,30.11,25.28,38.58,false,WHERE,Hard,HHH,hard,f
cntrQ_243,35.05,35.45,21.92,false,WHERE,Hard,EEH,hard,f
