StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,log_diffA1,answerA2,diffA2,log_diffA2,answerA3,diffA3,log_diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"14/11/2021 17:20","14/11/2021 17:45","IP Address","41.10.39.198","100","1499","True","14/11/2021 17:45","R_2t8R5KRgqgOEQie","-34.04859924","18.48109436","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",9,"hard","E","M","E","WHAT_Ql",29.67,84.11,35.04,1,378,"M","WHAT_Ql_M_H","M_H","5","115.868","33",-3.3299999999999983,1.7886857106135332,"85",-0.8900000000000006,0.02147972741045234,"33",2.039999999999999,1.1143670249519997,"Disagree",0,"2","5","4",11
"14/11/2021 17:20","14/11/2021 17:45","IP Address","41.10.39.198","100","1499","True","14/11/2021 17:45","R_2t8R5KRgqgOEQie","-34.04859924","18.48109436","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",6,"medium","E","H","E","WHAT_Ql",34.11,88.08,35.51,1,439,"H","WHAT_Ql_H_M","H_M","5","91.315","80",-45.89,5.524032323405924,"88",0.0799999999999983,-2.286304185156653,"39",-3.490000000000002,1.8539956471763939,"Disagree",0,"3","5","4",12
"14/11/2021 17:20","14/11/2021 17:45","IP Address","41.10.39.198","100","1499","True","14/11/2021 17:45","R_2t8R5KRgqgOEQie","-34.04859924","18.48109436","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",3,"easy","E","E","E","WHERE",13.01,14.86,14.47,-1,300,"E","WHERE_E_E","E_E","4","76.159","10",3.01,1.6484654430273142,"60",-45.14,5.500324049284198,"12",2.4700000000000006,1.3757345385831565,"Disagree",1,"4","4","5",13
"14/11/2021 17:14","14/11/2021 17:47","IP Address","152.3.43.51","100","1968","True","14/11/2021 17:47","R_3DdnwAdELqRGdYk","36.02510071","-78.92169952","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",3,"easy","E","E","E","WHAT_Qn",51.75,42.6,34.84,1,244,"E","WHAT_Qn_E_E","E_E","4","163.899","43",8.75,3.1497471195046822,"40",2.6000000000000014,1.4462562298895647,"30",4.840000000000003,2.31179371775365,"Agree",1,"5","5","5",14
"14/11/2021 17:14","14/11/2021 17:47","IP Address","152.3.43.51","100","1968","True","14/11/2021 17:47","R_3DdnwAdELqRGdYk","36.02510071","-78.92169952","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",9,"hard","E","M","E","WHAT_Qn",46.44,42.6,28.48,-1,337,"E","WHAT_Qn_E_H","E_H","4","115.549","45",1.4399999999999977,0.6461626571578916,"48",-5.399999999999999,2.4659744645040687,"20",8.48,3.105175192265479,"Agree",0,"5","5","5",15
"14/11/2021 17:14","14/11/2021 17:47","IP Address","152.3.43.51","100","1968","True","14/11/2021 17:47","R_3DdnwAdELqRGdYk","36.02510071","-78.92169952","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",9,"hard","H","E","E","WHAT_Qn",73.21,76.69,16.62,-1,432,"H","WHAT_Qn_H_H","H_H","4","285.478","65",8.209999999999994,3.059182199211691,"75",1.6899999999999977,0.8599695482210242,"13",3.620000000000001,1.9049657186840268,"Neither agree nor disagree",0,"5","5","5",16
"14/11/2021 17:14","14/11/2021 17:47","IP Address","152.3.43.51","100","1968","True","14/11/2021 17:47","R_3DdnwAdELqRGdYk","36.02510071","-78.92169952","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",6,"medium","M","E","M","WHAT_Ql",5.52,14,38.06,-1,283,"E","WHAT_Ql_E_M","E_M","5","76.53","4",1.5199999999999996,0.7180875839605164,"14",0,-3,"34",4.060000000000002,2.0652276227756197,"Agree",0,"5","4","5",17
"14/11/2021 17:14","14/11/2021 17:47","IP Address","152.3.43.51","100","1968","True","14/11/2021 17:47","R_3DdnwAdELqRGdYk","36.02510071","-78.92169952","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",8,"hard","E","H","E","WHAT_Ql",19.95,109.46,21.19,1,364,"H","WHAT_Ql_H_H","H_H","5","191.788","15",4.949999999999999,2.343407822297814,"78",31.459999999999994,4.981167667105682,"18",3.1900000000000013,1.7290088703378637,"Agree",1,"5","5","5",18
"14/11/2021 17:14","14/11/2021 17:47","IP Address","152.3.43.51","100","1968","True","14/11/2021 17:47","R_3DdnwAdELqRGdYk","36.02510071","-78.92169952","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",9,"hard","H","H","H","WHAT_Ql",1.93,21.24,16.73,1,445,"H","WHAT_Ql_H_H","H_H","5","79.273","1",0.9299999999999999,0.07724299893246035,"20",1.2399999999999984,0.44890095114512607,"18",-1.2699999999999996,0.4802651220544624,"Agree",1,"5","5","5",19
"14/11/2021 17:14","14/11/2021 17:47","IP Address","152.3.43.51","100","1968","True","14/11/2021 17:47","R_3DdnwAdELqRGdYk","36.02510071","-78.92169952","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",6,"medium","E","M","E","WHERE",14.04,15.53,18.54,1,304,"E","WHERE_E_M","E_M","5","145.2","17",-2.960000000000001,1.6252704893746936,"20",-4.470000000000001,2.20006486151431,"16",2.539999999999999,1.4141355329844507,"Neither agree nor disagree",0,"3","4","5",20
"14/11/2021 17:14","14/11/2021 17:47","IP Address","152.3.43.51","100","1968","True","14/11/2021 17:47","R_3DdnwAdELqRGdYk","36.02510071","-78.92169952","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",9,"hard","E","E","E","WHERE",15.64,14.86,26.8,-1,405,"E","WHERE_E_H","E_H","3","52.312","20",-4.359999999999999,2.1651079851445365,"15",-0.14000000000000057,-1.9159357352115225,"26",0.8000000000000007,-0.11247472925841145,"Disagree",1,"2","4","4",21
"14/11/2021 17:14","14/11/2021 17:47","IP Address","152.3.43.51","100","1968","True","14/11/2021 17:47","R_3DdnwAdELqRGdYk","36.02510071","-78.92169952","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",3,"easy","M","M","M","WHERE",65.92,38.08,7.87,1,460,"M","WHERE_M_E","M_E","5","58.592","59",6.920000000000002,2.8165997065349124,"38",0.0799999999999983,-2.286304185156653,"10",-2.13,1.1731274334806563,"Disagree",0,"5","3","5",22
"14/11/2021 17:13","14/11/2021 17:48","IP Address","173.183.92.121","100","2125","True","14/11/2021 17:48","R_r1EPmLqmZoSrl5v","50.70329285","-119.2682953","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",6,"medium","M","M","M","WHAT_Qn",66.66,64.01,12.5,-1,250,"M","WHAT_Qn_M_M","M_M","1","147.674","70",-3.3400000000000034,1.7928553523624904,"65",-0.9899999999999949,0.15704371014557342,"12",0.5,-0.6780719051126377,"Neither agree nor disagree",0,"3","3","3",23
"14/11/2021 17:13","14/11/2021 17:48","IP Address","173.183.92.121","100","2125","True","14/11/2021 17:48","R_r1EPmLqmZoSrl5v","50.70329285","-119.2682953","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",6,"medium","E","H","E","WHAT_Qn",30.71,34.69,22.19,1,331,"E","WHAT_Qn_E_M","E_M","3","204.088","20",10.71,3.437627248318949,"40",-5.310000000000002,2.442280035252585,"20",2.1900000000000013,1.2110121934855125,"Agree",1,"2","2","4",24
"14/11/2021 17:13","14/11/2021 17:48","IP Address","173.183.92.121","100","2125","True","14/11/2021 17:48","R_r1EPmLqmZoSrl5v","50.70329285","-119.2682953","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",6,"medium","H","H","H","WHAT_Qn",55.88,56.78,49.47,1,412,"H","WHAT_Qn_H_M","H_M","3","155.442","60",-4.119999999999997,2.085764553778313,"55",1.7800000000000011,0.9297909977185982,"45",4.469999999999999,2.2000648615143095,"Agree",1,"3","2","3",25
"14/11/2021 17:13","14/11/2021 17:48","IP Address","173.183.92.121","100","2125","True","14/11/2021 17:48","R_r1EPmLqmZoSrl5v","50.70329285","-119.2682953","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",6,"medium","H","E","H","WHAT_Ql",3,7.29,51.71,1,277,"E","WHAT_Ql_E_M","E_M","5","134.654","5",-2,1.0874628412503393,"5",2.29,1.2720231890610485,"50",1.7100000000000009,0.8757800630684888,"Disagree",0,"4","4","3",26
"14/11/2021 17:13","14/11/2021 17:48","IP Address","173.183.92.121","100","2125","True","14/11/2021 17:48","R_r1EPmLqmZoSrl5v","50.70329285","-119.2682953","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",3,"easy","H","M","H","WHAT_Ql",5.15,20.17,38.19,1,352,"M","WHAT_Ql_M_E","M_E","4","109.853","3",2.1500000000000004,1.1858665453113342,"20",0.1700000000000017,-1.761213140412875,"35",3.1899999999999977,1.729008870337862,"Agree",1,"4","4","3",27
"14/11/2021 17:13","14/11/2021 17:48","IP Address","173.183.92.121","100","2125","True","14/11/2021 17:48","R_r1EPmLqmZoSrl5v","50.70329285","-119.2682953","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",3,"easy","H","M","E","WHAT_Ql",17.84,52.74,33.33,-1,433,"M","WHAT_Ql_M_E","M_E","3","111.593","15",2.84,1.5680321047712789,"55",-2.259999999999998,1.2539892662307857,"33",0.3299999999999983,-1.1360615495760338,"Neither agree nor disagree",0,"4","4","4",28
"14/11/2021 17:13","14/11/2021 17:48","IP Address","173.183.92.121","100","2125","True","14/11/2021 17:48","R_r1EPmLqmZoSrl5v","50.70329285","-119.2682953","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",3,"easy","H","E","H","WHERE",16.29,25.28,34.9,-1,381,"H","WHERE_H_E","H_E","4","102.596","55",-38.71,5.279285560846542,"60",-34.72,5.122879749755239,"35",-0.10000000000000142,-2.1520030934450407,"Agree",0,"3","4","4",29
"14/11/2021 17:13","14/11/2021 17:48","IP Address","173.183.92.121","100","2125","True","14/11/2021 17:48","R_r1EPmLqmZoSrl5v","50.70329285","-119.2682953","anonymous","EN",4,"suspension force","gps on","wiper on gte 1","h0v0",6,"medium","H","E","E","WHERE",18.83,19.96,28.68,1,462,"E","WHERE_E_M","E_M","5","117.571","10",8.829999999999998,3.162693432211236,"40",-20.04,4.333781500631152,"36",-7.32,2.896271848807375,"Agree",1,"3","4","4",30
"14/11/2021 17:09","14/11/2021 17:49","IP Address","68.197.138.127","100","2425","True","14/11/2021 17:49","R_1lcylWI15Pv4mO7","40.5980072","-73.94670105","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",6,"medium","M","M","M","WHAT_Qn",66.66,64.01,12.5,-1,250,"M","WHAT_Qn_M_M","M_M","5","199.139","75",-8.340000000000003,3.0815100681209175,"70",-5.989999999999995,2.612352498752661,"15",-2.5,1.3923174227787602,"Disagree",1,"4","3","4",31
"14/11/2021 17:09","14/11/2021 17:49","IP Address","68.197.138.127","100","2425","True","14/11/2021 17:49","R_1lcylWI15Pv4mO7","40.5980072","-73.94670105","anonymous","EN",67,"electricity consumption","wiper on","gps on gte 1","h0v0",9,"hard","H","E","H","WHAT_Qn",48.07,56.78,23.82,1,351,"H","WHAT_Qn_H_H","H_H","5","150.492","57",-8.93,3.1787146411754432,"60",-3.219999999999999,1.7420062108667358,"26",-2.1799999999999997,1.2047667506546131,"Disagree",0,"3","3","4",32
"14/11/2021 17:09","14/11/2021 17:49","IP Address","68.197.138.127","100","2425","True","14/11/2021 17:49","R_1lcylWI15Pv4mO7","40.5980072","-73.94670105","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",3,"easy","E","E","E","WHAT_Qn",35.04,34.69,12.03,-1,406,"E","WHAT_Qn_E_E","E_E","5","162.042","40",-4.960000000000001,2.3462477740827756,"39",-4.310000000000002,2.1489341045263397,"9",3.0299999999999994,1.657640005207824,"Disagree",1,"4","3","4",33
"14/11/2021 17:09","14/11/2021 17:49","IP Address","68.197.138.127","100","2425","True","14/11/2021 17:49","R_1lcylWI15Pv4mO7","40.5980072","-73.94670105","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",3,"easy","E","E","E","WHAT_Ql",0,24.27,36,1,271,"E","WHAT_Ql_E_E","E_E","5","120.531","0",0,-3,"22",2.2699999999999996,1.2600256559614553,"32",4,2.0443941193584534,"Agree",1,"5","5","4",34
