StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"13/11/2021 18:27","13/11/2021 18:39","IP Address","62.30.202.74","100","745","True","13/11/2021 18:39","R_274jOIMIODB9uz8","53.7572937","-2.723602295","anonymous","EN",54,"suspension force","radio on","wiper on gte 1","h1v1",6,"medium","E","H","M","WHAT_Qn",60.36,56.13,23.62,1,16,"E","WHAT_Qn_E_M","E_M","3","99.383","55",5.359999999999999,"42",14.130000000000003,"20",3.620000000000001,"Neither agree nor disagree",0,"3","2","3",0
"13/11/2021 18:27","13/11/2021 18:39","IP Address","62.30.202.74","100","745","True","13/11/2021 18:39","R_274jOIMIODB9uz8","53.7572937","-2.723602295","anonymous","EN",20,"electricity consumption","radio on","wiper on gte 1","h1v1",9,"hard","M","H","H","WHAT_Qn",53.52,56.13,18.62,1,107,"M","WHAT_Qn_M_H","M_H","3","42.299","54",-0.4799999999999969,"39",17.130000000000003,"47",-28.38,"Neither agree nor disagree",0,"3","2","3",1
"13/11/2021 18:27","13/11/2021 18:39","IP Address","62.30.202.74","100","745","True","13/11/2021 18:39","R_274jOIMIODB9uz8","53.7572937","-2.723602295","anonymous","EN",12,"suspension force","gps on","wiper on gte 1","h1v1",6,"medium","H","M","H","WHAT_Qn",21.67,23.06,22.44,-1,176,"H","WHAT_Qn_H_M","H_M","2","18.119","34",-12.329999999999998,"38",-14.940000000000001,"24",-1.5599999999999987,"Neither agree nor disagree",0,"2","1","2",2
"13/11/2021 18:27","13/11/2021 18:39","IP Address","62.30.202.74","100","745","True","13/11/2021 18:39","R_274jOIMIODB9uz8","53.7572937","-2.723602295","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h1v1",8,"hard","E","E","E","WHAT_Ql",8.87,78.73,14.48,1,54,"E","WHAT_Ql_E_H","E_H","2","66.377","20",-11.13,"20",58.730000000000004,"15",-0.5199999999999996,"Agree",1,"4","3","3",3
"13/11/2021 18:27","13/11/2021 18:39","IP Address","62.30.202.74","100","745","True","13/11/2021 18:39","R_274jOIMIODB9uz8","53.7572937","-2.723602295","anonymous","EN",12,"suspension force","gps on","wiper on gte 1","h1v1",6,"medium","H","M","H","WHAT_Ql",17.26,81.18,26.28,-1,125,"M","WHAT_Ql_M_M","M_M","3","80.345","19",-1.7399999999999984,"15",66.18,"90",-63.72,"Neither agree nor disagree",0,"3","4","3",4
"13/11/2021 18:27","13/11/2021 18:39","IP Address","62.30.202.74","100","745","True","13/11/2021 18:39","R_274jOIMIODB9uz8","53.7572937","-2.723602295","anonymous","EN",33,"engine temperature","gps on","wiper on gte 1","h1v1",3,"easy","H","H","E","WHAT_Ql",10.95,19.81,43.12,-1,195,"H","WHAT_Ql_H_E","H_E","2","61","14",-3.0500000000000007,"38",-18.19,"50",-6.880000000000003,"Neither agree nor disagree",0,"4","4","3",5
"13/11/2021 18:27","13/11/2021 18:39","IP Address","62.30.202.74","100","745","True","13/11/2021 18:39","R_274jOIMIODB9uz8","53.7572937","-2.723602295","anonymous","EN",33,"engine temperature","gps on","wiper on gte 1","h1v1",9,"hard","H","H","E","WHERE",15.82,18.52,38.36,1,80,"E","WHERE_E_H","E_H","3","72.336","60",-44.18,"60",-41.480000000000004,"35",3.3599999999999994,"Neither agree nor disagree",0,"3","2","3",6
"13/11/2021 18:27","13/11/2021 18:39","IP Address","62.30.202.74","100","745","True","13/11/2021 18:39","R_274jOIMIODB9uz8","53.7572937","-2.723602295","anonymous","EN",54,"suspension force","radio on","wiper on gte 1","h1v1",9,"hard","E","H","M","WHERE",27.19,26.37,32.14,1,155,"M","WHERE_M_H","M_H","3","29.26","28",-0.8099999999999987,"41",-14.629999999999999,"50",-17.86,"Disagree",0,"2","2","3",7
"13/11/2021 18:27","13/11/2021 18:39","IP Address","62.30.202.74","100","745","True","13/11/2021 18:39","R_274jOIMIODB9uz8","53.7572937","-2.723602295","anonymous","EN",12,"suspension force","gps on","wiper on gte 1","h1v1",5,"medium","H","M","H","WHERE",22.9,24.89,34.76,1,232,"H","WHERE_H_M","H_M","3","64.512","16",6.899999999999999,"14",10.89,"50",-15.240000000000002,"Agree",1,"3","2","3",8
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",64,"engine temperature","gps on","wiper on gte 1","h1v1",9,"hard","E","E","H","WHAT_Qn",26.92,24.93,16.61,-1,20,"E","WHAT_Qn_E_H","E_H","0","23.024","21",5.920000000000002,"29",-4.07,"43",-26.39,"Neither agree nor disagree",0,"0","0","0",9
"13/11/2021 18:59","13/11/2021 19:08","IP Address","174.109.117.242","100","557","True","13/11/2021 19:08","R_33mwnyRIuYR0imW","36.02290344","-78.9464035","anonymous","EN",22,"electricity consumption","radio on","wiper on gte 1","h1v1",9,"hard","M","H","M","WHAT_Qn",74.9,77.48,19.35,1,106,"M","WHAT_Qn_M_H","M_H","1","30.699","35",39.900000000000006,"40",37.480000000000004,"7",12.350000000000001,"Neither agree nor disagree",0,"2","1","0",10
