ResponseId,Progress,RecordedDate,StartDate,EndDate,Finished,Duration_in_seconds,filename,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA,bslnB,cntrQ,FirstClick,LastClick,PageSubmit
"R_2BtzKbQly6Y98mQ","100","05/05/2021 04:28","05/05/2021 04:25","05/05/2021 04:28","True","220","idc68-fC-gO-qry_rO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HMH-fcs_WHERE-bsln_67.73)71.77)49.60_t-cntrQ_299",68,"fuel consumption","gps on","radio on gte 1","h0v0",3,"easy","H","M","H","WHERE",-1,1,299,"61.387","157.958","158.796"
"R_10NvTmpj3AFfQ4b","100","05/05/2021 04:31","05/05/2021 04:29","05/05/2021 04:31","True","128","idc1-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_2-dMask_easy-dCmplx_EEE-fcs_WHERE-bsln_61.71)67.11)17.61_t-cntrQ_298",1,"electricity consumption","gps on","radio on gte 1","h0v0",2,"easy","E","E","E","WHERE",-1,1,298,"32.552","77.502","78.197"
"R_1LbTjLlMqutyQp2","100","05/05/2021 04:33","05/05/2021 04:32","05/05/2021 04:33","True","69","idc29-eG-rO-qry_gO_gte_1-flips_h0v0-nMasks_2-dMask_easy-dCmplx_MEH-fcs_WHERE-bsln_65.71)72.86)61.91_t-cntrQ_300",29,"engine temperature","radio on","gps on gte 1","h0v0",2,"easy","M","E","H","WHERE",-1,1,300,"11.02","25.015","26.111"
