StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"19/09/2021 14:17","19/09/2021 14:36","IP Address","177.227.66.204","100","1143","True","19/09/2021 14:36","R_pzRDrk1EdONRjvX","22.73849487","-102.5981979","anonymous","EN",59,"electricity consumption","radio on","engine temperature gte 18.23","h0v0",4,"easy","M","M","M","WHAT_Ql",5.12,15.58,27.02,-1,8277,"M","WHAT_Ql_M_E","M_E","5","159.278","46",-40.88,"46",-30.42,"37",-9.98,"Disagree",1,"5","4","5",0
"19/09/2021 14:17","19/09/2021 14:36","IP Address","177.227.66.204","100","1143","True","19/09/2021 14:36","R_pzRDrk1EdONRjvX","22.73849487","-102.5981979","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",6,"medium","H","H","H","WHAT_Qn",54.58,56.78,62.82,1,351,"H","WHAT_Qn_H_M","H_M","5","62.571","55",-0.4200000000000017,"60",-3.219999999999999,"36",26.82,"Disagree",0,"5","5","5",1
"19/09/2021 14:17","19/09/2021 14:36","IP Address","177.227.66.204","100","1143","True","19/09/2021 14:36","R_pzRDrk1EdONRjvX","22.73849487","-102.5981979","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",9,"hard","M","M","M","WHAT_Qn",61.43,64.01,25.29,-1,8432,"M","WHAT_Qn_M_H","M_H","5","57.261","44",17.43,"40",24.010000000000005,"55",-29.71,"Disagree",1,"4","4","5",2
"19/09/2021 14:17","19/09/2021 14:36","IP Address","177.227.66.204","100","1143","True","19/09/2021 14:36","R_pzRDrk1EdONRjvX","22.73849487","-102.5981979","anonymous","EN",29,"engine temperature","radio on","wiper on gte 1","h0v0",4,"easy","E","H","E","WHAT_Ql",49.99,71.6,65.02,1,273,"H","WHAT_Ql_H_E","H_E","5","73.702","75",-25.009999999999998,"80",-8.400000000000006,"60",5.019999999999996,"Disagree",0,"4","5","5",3
"19/09/2021 14:17","19/09/2021 14:36","IP Address","177.227.66.204","100","1143","True","19/09/2021 14:36","R_pzRDrk1EdONRjvX","22.73849487","-102.5981979","anonymous","EN",59,"electricity consumption","radio on","wiper on gte 1","h0v0",9,"hard","M","M","M","WHAT_Ql",1.97,15.58,21.1,-1,8462,"M","WHAT_Ql_M_H","M_H","3","97.866","20",-18.03,"55",-39.42,"31",-9.899999999999999,"Neither agree nor disagree",0,"5","5","5",4
"19/09/2021 14:17","19/09/2021 14:36","IP Address","177.227.66.204","100","1143","True","19/09/2021 14:36","R_pzRDrk1EdONRjvX","22.73849487","-102.5981979","anonymous","EN",67,"electricity consumption","wiper on","radio on gte 1","h0v0",2,"easy","H","H","H","WHAT_Qn",54.44,56.78,75.65,1,324,"H","WHAT_Qn_H_E","H_E","5","86.33","65",-10.560000000000002,"50",6.780000000000001,"75",0.6500000000000057,"Disagree",0,"3","4","5",5
"19/09/2021 14:17","19/09/2021 14:36","IP Address","177.227.66.204","100","1143","True","19/09/2021 14:36","R_pzRDrk1EdONRjvX","22.73849487","-102.5981979","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",4,"medium","E","E","E","WHAT_Qn",48.29,42.6,14.24,-1,379,"E","WHAT_Qn_E_M","E_M","4","104.789","33",15.29,"40",2.6000000000000014,"16",-1.7599999999999998,"Agree",0,"3","4","5",6
"19/09/2021 14:17","19/09/2021 14:36","IP Address","177.227.66.204","100","1143","True","19/09/2021 14:36","R_pzRDrk1EdONRjvX","22.73849487","-102.5981979","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",13,"hard","E","E","E","WHAT_Ql",52.33,78.73,58.87,-1,460,"E","WHAT_Ql_E_H","E_H","5","77.374","54",-1.6700000000000017,"79",-0.269999999999996,"53",5.869999999999997,"Agree",0,"5","5","5",7
"19/09/2021 14:16","19/09/2021 14:38","IP Address","212.3.195.143","100","1319","True","19/09/2021 14:38","R_30i5PZeOzleZTow","56.94960022","24.09779358","anonymous","EN",4,"suspension force","gps on","heating on gte 1","h0v0",3,"easy","H","E","E","WHAT_Qn",79.15,76.69,75.2,1,250,"H","WHAT_Qn_H_E","H_E","4","91.363","80",-0.8499999999999943,"75",1.6899999999999977,"68",7.200000000000003,"Neither agree nor disagree",0,"3","4","4",8
"19/09/2021 14:16","19/09/2021 14:38","IP Address","212.3.195.143","100","1319","True","19/09/2021 14:38","R_30i5PZeOzleZTow","56.94960022","24.09779358","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",7,"medium","E","E","E","WHAT_Qn",37.74,42.6,33.93,1,325,"E","WHAT_Qn_E_M","E_M","3","106.375","30",7.740000000000002,"35",7.600000000000001,"25",8.93,"Neither agree nor disagree",0,"3","3","3",9
