cntrQ,idc,image_name,image_link,numMask,alt_mask,flips,focus
479,72,idc72-fC-gO-qry_wO_gte_1-flips_h0v0-nMasks_9-dMask_hard-dCmplx_EMH-fcs_WHERE-bsln_35.70)40.55)50.39_t-cntrQ_479.png,IM_8BAkekvc1huMRQG,9,medium,h0v0,WHERE
28,1,idc1-eC-gO-qry_rO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_EEE-fcs_WHAT_Ql-bsln_5.84)78.73)12.38_t-cntrQ_28.png,IM_br13PYpB71oNBTo,4,easy,h1v1,WHAT_Ql
1,1,idc1-eC-gO-qry_rO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_EEE-fcs_WHAT_Qn-bsln_47.05)42.60)14.24_t-cntrQ_1.png,IM_dcn2CXMjpWZxVZA,4,easy,h1v1,WHAT_Qn
55,1,idc1-eC-gO-qry_rO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_EEE-fcs_WHERE-bsln_28.70)24.67)14.28_f-cntrQ_55.png,IM_8qceEiNqFxnNMX4,4,easy,h1v1,WHERE
109,1,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_1-dMask_medium-dCmplx_EEE-fcs_WHAT_Ql-bsln_30.14)78.73)30.14_t-cntrQ_109.png,IM_83cH85lJ1LOrScK,1,easy,h1v1,WHAT_Ql
190,1,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_EEE-fcs_WHAT_Ql-bsln_42.75)78.73)58.64_f-cntrQ_190.png,IM_5irWnb3bzKB7ugC,12,hard,h1v1,WHAT_Ql
217,1,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_13-dMask_hard-dCmplx_EEE-fcs_WHERE-bsln_25.90)22.56)48.93_t-cntrQ_217.png,IM_eXUlUwiQaci70Sq,13,hard,h1v1,WHERE
163,1,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_EEE-fcs_WHAT_Qn-bsln_38.44)42.60)57.87_t-cntrQ_163.png,IM_dmNEUR59J9E5A6q,14,hard,h1v1,WHAT_Qn
136,1,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_medium-dCmplx_EEE-fcs_WHERE-bsln_15.10)22.56)14.58_t-cntrQ_136.png,IM_eFY2zRQszxtsPA2,3,easy,h1v1,WHERE
82,1,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_EEE-fcs_WHAT_Qn-bsln_37.74)42.60)33.93_t-cntrQ_82.png,IM_0vvhJPekbUnoIB0,7,medium,h1v1,WHAT_Qn
53,12,idc12-sF-gO-qry_hO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_HMH-fcs_WHAT_Ql-bsln_19.84)24.74)82.21_t-cntrQ_53.png,IM_eLtfw01lpMKEIt0,4,easy,h1v1,WHAT_Ql
26,12,idc12-sF-gO-qry_hO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_HMH-fcs_WHAT_Qn-bsln_22.41)23.06)84.81_f-cntrQ_26.png,IM_bQ8A3p5k6taX8lU,4,easy,h1v1,WHAT_Qn
80,12,idc12-sF-gO-qry_hO_gte_1-flips_h1v1-nMasks_4-dMask_easy-dCmplx_HMH-fcs_WHERE-bsln_22.91)23.34)84.76_f-cntrQ_80.png,IM_0Omqm4C1FVqe40S,4,easy,h1v1,WHERE
215,12,idc12-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_HMH-fcs_WHAT_Ql-bsln_15.72)24.74)49.48_f-cntrQ_215.png,IM_3n2oLkhM4koT7Ia,12,hard,h1v1,WHAT_Ql
188,12,idc12-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_HMH-fcs_WHAT_Qn-bsln_19.65)23.06)60.06_f-cntrQ_188.png,IM_8lhYVYzvmoJckui,12,hard,h1v1,WHAT_Qn
242,12,idc12-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_HMH-fcs_WHERE-bsln_30.58)26.13)62.91_t-cntrQ_242.png,IM_1BREQY7XQ5zWHps,12,hard,h1v1,WHERE
107,12,idc12-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_2-dMask_medium-dCmplx_HMH-fcs_WHAT_Qn-bsln_14.31)23.06)10.23_t-cntrQ_107.png,IM_3qpB07yUDQegbKC,2,easy,h1v1,WHAT_Qn
134,12,idc12-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_HMH-fcs_WHAT_Ql-bsln_10.82)24.74)26.54_t-cntrQ_134.png,IM_0jtZsRRaTic3CXc,7,medium,h1v1,WHAT_Ql
161,12,idc12-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_7-dMask_medium-dCmplx_HMH-fcs_WHERE-bsln_31.28)26.13)32.45_f-cntrQ_161.png,IM_3q127orc6i3Zi18,7,medium,h1v1,WHERE
86,14,idc14-eG-gO-qry_hO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MME-fcs_WHAT_Qn-bsln_48.75)23.96)8_t-cntrQ_86.png,IM_08jHA9gxaqKQGea,6,medium,h1v1,WHAT_Qn
32,14,idc14-eG-gO-qry_sF_gte_43.78-flips_h1v1-nMasks_6-dMask_easy-dCmplx_MME-fcs_WHAT_Ql-bsln_7.26)78.21)12.86_f-cntrQ_32.png,IM_6LISLkH89IlKYmO,6,medium,h1v1,WHAT_Ql
5,14,idc14-eG-gO-qry_sF_gte_43.78-flips_h1v1-nMasks_6-dMask_easy-dCmplx_MME-fcs_WHAT_Qn-bsln_17.65)23.96)13.06_f-cntrQ_5.png,IM_bHm3wZEStgNgKr4,6,medium,h1v1,WHAT_Qn
59,14,idc14-eG-gO-qry_sF_gte_43.78-flips_h1v1-nMasks_6-dMask_easy-dCmplx_MME-fcs_WHERE-bsln_53.73)28.68)13.10_t-cntrQ_59.png,IM_1Fv6MoqfJsqcs0C,6,medium,h1v1,WHERE
221,14,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_10-dMask_hard-dCmplx_MME-fcs_WHERE-bsln_39.32)28.68)35.56_t-cntrQ_221.png,IM_bj4Omcubxuj5vn0,10,hard,h1v1,WHERE
140,14,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MME-fcs_WHERE-bsln_25.03)28.68)39.57_f-cntrQ_140.png,IM_6JwwKJ5tHW1Jr4a,6,medium,h1v1,WHERE
113,14,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_8-dMask_medium-dCmplx_MME-fcs_WHAT_Ql-bsln_22.19)78.21)33.60_t-cntrQ_113.png,IM_78ldAGWWgiwTymO,8,medium,h1v1,WHAT_Ql
194,14,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MME-fcs_WHAT_Ql-bsln_25.93)78.21)36.92_f-cntrQ_194.png,IM_aeN5WaDkNQU7eIK,9,medium,h1v1,WHAT_Ql
167,14,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MME-fcs_WHAT_Qn-bsln_40.51)23.96)17.59_t-cntrQ_167.png,IM_2r6jAlfdx4LjL38,9,medium,h1v1,WHAT_Qn
45,2,idc2-sF-wO-qry_gO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HHM-fcs_WHAT_Ql-bsln_16.21)28.33)62.42_t-cntrQ_45.png,IM_cFLyI09T4x6xTDg,3,easy,h1v1,WHAT_Ql
