session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6190aafe0a95045f1606dc10,60c725a1fbbdc17e1790c321,APPROVED,2021-11-14 06:25:12.780000,2021-11-14 07:29:09.028000,3836.248,28,32,0,100,2021-11-14 11:40:44.425000,804E44E8,South Africa,South Africa,Unemployed (and job seeking),English,South Africa,Female,Yes
6190ab6430cf0cc0ce86878e,605cd2aefa163d506547bb2d,RETURNED,2021-11-14 06:23:56.926000,,113860.570651,35,34,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6190ab83d326eaf4081709f3,60d63d184b2ec94b5b53ead5,APPROVED,2021-11-14 06:24:07.311000,2021-11-14 06:49:37.294000,1529.983,42,66,1,100,2021-11-14 11:40:38.909000,804E44E8,Ireland,Ireland,Unemployed (and job seeking),English,Ireland,Male,No
6190abc4239c7a6e7796ede9,60ee271d53c3e20fa03637a1,APPROVED,2021-11-14 06:25:10.504000,2021-11-14 06:37:57.183000,766.679,29,105,0,100,2021-11-14 11:40:38.986000,804E44E8,Canada,Canada,Full-Time,English,Canada,Male,No
6190ac3d626d7bd2d11f291e,60bfa45e4b4c6f448676b18e,RETURNED,2021-11-14 06:27:11.824000,,113665.742391,29,77,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6190ac5d6c339388480c4ab1,5fb57efb5d9903092700e5d7,APPROVED,2021-11-14 06:27:44.884000,2021-11-14 06:47:03.068000,1158.184,42,184,2,100,2021-11-14 11:40:39.068000,804E44E8,Malaysia,United Kingdom,Full-Time,English,United Kingdom,Male,No
6190ac7a7a328e74110b3e9a,5f8d35cc8c96854e037df333,APPROVED,2021-11-14 06:28:33.399000,2021-11-14 07:00:55.335000,1941.936,24,87,0,100,2021-11-14 11:40:44.524000,804E44E8,Mexico,Mexico,Part-Time,English,Mexico,Female,No
6190ac8ce258dfc0f9d9f62d,600b283694c55c15f17e744c,TIMED-OUT,2021-11-14 06:28:28.415000,,113589.23276,36,368,0,100,,,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6190ac99f405f386cd8db303,5ee625b0e1640f3738d8a5b6,APPROVED,2021-11-14 06:36:55.685000,2021-11-14 07:07:12.724000,1817.039,44,115,0,100,2021-11-14 11:40:44.624000,804E44E8,DATA EXPIRED,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
6190ad2bb0b3743cf00a39ad,5e149635ac9e16ab48f85941,APPROVED,2021-11-14 06:31:09.738000,2021-11-14 06:56:42.553000,1532.815,24,384,1,100,2021-11-14 11:40:44.719000,804E44E8,United States,United States,Full-Time,English,United States,Female,No
6190ad326a32941a32b8745a,60c0be6d78e92d0f07b8caf6,APPROVED,2021-11-14 06:31:14.837000,2021-11-14 07:03:31.884000,1937.047,45,42,0,100,2021-11-14 11:40:39.163000,804E44E8,South Africa,South Africa,Full-Time,English,South Africa,Male,No
6190ad9eebf4d729856e6377,60603496c9a3d83273a11297,APPROVED,2021-11-14 06:33:02.953000,2021-11-14 07:02:53.298000,1790.345,27,88,1,100,2021-11-14 11:40:44.813000,804E44E8,South Africa,South Africa,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,South Africa,Female,No
6190add4de4745921ba84c55,60be90f1912d5331e734e92c,APPROVED,2021-11-14 06:34:53.465000,2021-11-14 07:08:10.133000,1996.668,20,73,0,100,2021-11-14 11:40:44.905000,804E44E8,South Africa,South Africa,Unemployed (and job seeking),English,South Africa,Female,Yes
6190ae9b233462c384157f04,60246851e702651672ca50e0,RETURNED,2021-11-14 06:37:19.230000,,113058.549544,30,143,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6190b1cf8087c2ebb8d5593a,6090bfcf16b36cd584871bef,APPROVED,2021-11-14 06:50:55.179000,2021-11-14 07:31:13.398000,2418.219,21,54,1,100,2021-11-14 11:40:39.255000,804E44E8,New Zealand,New Zealand,Part-Time,English,New Zealand,Male,DATA EXPIRED
6190b27d5e9ebc6a38d395b5,607133ee1606ccde58cd79c2,APPROVED,2021-11-14 06:53:49.038000,2021-11-14 07:22:45.022000,1735.984,20,45,0,100,2021-11-14 11:40:39.333000,804E44E8,Canada,Canada,DATA EXPIRED,English,Canada,Male,DATA EXPIRED
6190b32a551a9bbab810fa73,58c0084797641c0001f20649,APPROVED,2021-11-14 06:56:45.548000,2021-11-14 07:15:23.940000,1118.392,37,651,1,100,2021-11-14 11:40:39.423000,804E44E8,United Kingdom,Japan,Full-Time,English,United Kingdom,Male,No
6190b3bfebf4d729856e6393,602b8155a5c8a32bbac81763,APPROVED,2021-11-14 06:59:11.244000,2021-11-14 07:52:17.422000,3186.178,26,108,0,100,2021-11-14 11:40:39.498000,804E44E8,South Africa,South Africa,DATA EXPIRED,English,South Africa,Male,DATA EXPIRED
6190b479142624db254a4bff,60aa58737ee02afce92666ac,APPROVED,2021-11-14 07:02:27.620000,2021-11-14 07:54:50.063000,3142.443,47,73,0,100,2021-11-14 11:40:39.596000,804E44E8,Zimbabwe,South Africa,Part-Time,English,Zimbabwe,Male,Yes
6190b6b2ee8cd8d49f6af233,5d5c91234dafb40015def498,RETURNED,2021-11-14 07:11:50.891000,,110986.988163,48,56,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6190b75cde08b86e34154cea,60c298f8c2328dfe272401d2,APPROVED,2021-11-14 07:14:42.967000,2021-11-14 07:27:18.713000,755.746,25,76,0,100,2021-11-14 11:40:39.708000,804E44E8,South Africa,South Africa,Part-Time,English,South Africa,Male,Yes
6190b7d60365d62e8086d67e,600ec9f9e9009277a05f4c16,APPROVED,2021-11-14 07:16:38.461000,2021-11-14 07:39:35.059000,1376.598,25,86,0,100,2021-11-14 11:40:39.826000,804E44E8,South Africa,South Africa,Unemployed (and job seeking),English,South Africa,Male,No
6190b833433eeab3ad6b8bab,5ed8987e0e41403a10ecb02b,RETURNED,2021-11-14 07:18:14.757000,,110603.167447,30,195,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6190b89533efa88311aa83dc,57b27d847d42b700012dd055,APPROVED,2021-11-14 07:19:51.951000,2021-11-14 07:42:14.303000,1342.352,34,462,2,100,2021-11-14 11:40:39.918000,804E44E8,Canada,Canada,Full-Time,English,Canada,Male,No
6190b8ee8663c6060e5e1416,5ec235edd61b87000a1b3aa7,APPROVED,2021-11-14 07:21:25.383000,2021-11-14 07:56:54.378000,2128.995,29,78,0,100,2021-11-14 11:40:40.046000,804E44E8,Australia,Australia,Full-Time,English,Australia,Male,No
6190b8f5621180dd480d215f,6028f618104ca87cf089b00a,APPROVED,2021-11-14 07:21:25.688000,2021-11-14 07:35:11.624000,825.936,36,86,0,100,2021-11-14 11:40:40.143000,804E44E8,Swaziland,South Africa,Full-Time,English,South Africa,Male,No
6190ba0c2d259a62870f4104,60981d3a7fb015cb76966b70,APPROVED,2021-11-14 07:26:04.334000,2021-11-14 07:57:52.862000,1908.528,29,73,1,100,2021-11-14 11:40:40.249000,804E44E8,Australia,Australia,DATA EXPIRED,English,Australia,Male,DATA EXPIRED
6190ba98fa010eabb9e080ae,5f47b045144b1c1ab5bed08d,RETURNED,2021-11-14 07:28:27.045000,,109990.962259,35,302,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6190bac91bc997d309d09188,60a4011f5ecd6ba54636426f,APPROVED,2021-11-14 07:29:18.062000,2021-11-14 07:50:25.549000,1267.487,54,92,1,100,2021-11-14 11:40:40.364000,804E44E8,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,No
6190bad98aab8a4fd5502d46,5ca612a8d24640001432512c,APPROVED,2021-11-14 07:29:29.590000,2021-11-14 07:45:54.546000,984.956,49,524,3,100,2021-11-14 11:40:40.449000,804E44E8,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
6190bbd4e17a3275a47a9abb,605ed8d940dc49a55b76cadb,RETURNED,2021-11-14 07:37:14.347000,,109463.716132,36,158,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6190bc7445804cd734dcfac1,603117a3d37c26ff03635edc,TIMED-OUT,2021-11-14 07:36:22.948000,,109515.131891,23,52,0,100,,,South Africa,South Africa,DATA EXPIRED,English,South Africa,Male,DATA EXPIRED
6190bc83ee9d13dd2b5c6886,5da64c3721d74a0016dfce74,APPROVED,2021-11-14 07:36:40.035000,2021-11-14 07:50:13.883000,813.848,31,377,0,100,2021-11-14 11:40:40.536000,804E44E8,Canada,Canada,Full-Time,English,Canada,Male,No
6190c2340434dd37a95d20f6,59a6b3c6d4019800014cf314,APPROVED,2021-11-14 08:01:00.533000,2021-11-14 08:28:29.672000,1649.139,28,134,0,100,2021-11-14 11:40:40.622000,804E44E8,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,No
6190c52e71fecf04512c396a,5cc0d06f1b63090001c4be24,APPROVED,2021-11-14 08:21:45.529000,2021-11-14 08:57:42.646000,2157.117,30,433,2,100,2021-11-14 11:40:45.011000,804E44E8,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
6190d023ca2eb40675e0d597,57d74ff1ea00cf0001d47148,APPROVED,2021-11-14 09:00:33.745000,2021-11-14 10:08:59.865000,4106.12,26,536,2,100,2021-11-14 11:40:40.702000,804E44E8,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
