"","mean_CI","low_CI","high_CI","category_combination","focus","question","orderCategoryCombination","filterType","filterValue","X5","significantDifference","sizeSignificantDifference"
"36",-0.215169203120678,-1.08329842139901,0.648788610683603,"dComplex_focus,M_H","WHERE","log_diffA1","focus complexity: Medium-Hard","p",5,"",FALSE,0
"37",-1.10207454562936,-1.98112310391462,-0.21505606070942,"dComplex_focus,E_M","WHAT_Ql","log_diffA2","focus complexity: Easy-Medium","p",5,"",TRUE,1
"38",-0.943138671992381,-2.15106653436984,0.268262782242804,"dComplex_focus,E_H","WHAT_Ql","log_diffA2","focus complexity: Easy-Hard","p",5,"",FALSE,0
"39",0.290487364787321,-0.384150397300179,0.966543925237293,"dComplex_focus,M_H","WHAT_Ql","log_diffA2","focus complexity: Medium-Hard","p",5,"",FALSE,0
"40",0.0201634749761475,-0.751552082048869,0.785821029540527,"dComplex_focus,E_M","WHAT_Qn","log_diffA2","focus complexity: Easy-Medium","p",5,"",FALSE,0
"41",0.154773366827132,-0.679393814788429,0.986975785236523,"dComplex_focus,E_H","WHAT_Qn","log_diffA2","focus complexity: Easy-Hard","p",5,"",FALSE,0
"42",0.0917781896111697,-0.643961402542498,0.840805672145648,"dComplex_focus,M_H","WHAT_Qn","log_diffA2","focus complexity: Medium-Hard","p",5,"",FALSE,0
"43",0.554721827762847,-0.527518660482519,1.62563029582263,"dComplex_focus,E_M","WHERE","log_diffA2","focus complexity: Easy-Medium","p",5,"",FALSE,0
"44",-0.0217928469389415,-0.830892193314575,0.781832275658017,"dComplex_focus,E_H","WHERE","log_diffA2","focus complexity: Easy-Hard","p",5,"",FALSE,0
"45",-0.388449712362379,-1.32885878398344,0.555624125224484,"dComplex_focus,M_H","WHERE","log_diffA2","focus complexity: Medium-Hard","p",5,"",FALSE,0
"46",-0.304856936902614,-1.64750382403922,1.0410452610666,"dComplex_focus,E_M","WHAT_Ql","log_diffA3","focus complexity: Easy-Medium","p",5,"",FALSE,0
"47",0.431274735696876,-0.998229637499762,1.84011873184485,"dComplex_focus,E_H","WHAT_Ql","log_diffA3","focus complexity: Easy-Hard","p",5,"",FALSE,0
"48",0.886703643818504,-0.0640487965670258,1.8213076392691,"dComplex_focus,M_H","WHAT_Ql","log_diffA3","focus complexity: Medium-Hard","p",5,"",FALSE,0
"49",1.03357517139382,-0.242296098726416,2.30572533067631,"dComplex_focus,E_M","WHAT_Qn","log_diffA3","focus complexity: Easy-Medium","p",5,"",FALSE,0
"50",-0.293411602009778,-1.23633024506318,0.64986239950307,"dComplex_focus,E_H","WHAT_Qn","log_diffA3","focus complexity: Easy-Hard","p",5,"",FALSE,0
"51",-1.18819091855916,-2.25070565225366,-0.107334683862377,"dComplex_focus,M_H","WHAT_Qn","log_diffA3","focus complexity: Medium-Hard","p",5,"",TRUE,1
"52",-0.0448116560722253,-1.03051532692214,0.948591357809042,"dComplex_focus,E_M","WHERE","log_diffA3","focus complexity: Easy-Medium","p",5,"",FALSE,0
"53",0.217594717903461,-0.944058624466668,1.3963915561554,"dComplex_focus,E_H","WHERE","log_diffA3","focus complexity: Easy-Hard","p",5,"",FALSE,0
"54",0.310023896612567,-0.620851811650884,1.25164533857311,"dComplex_focus,M_H","WHERE","log_diffA3","focus complexity: Medium-Hard","p",5,"",FALSE,0
"55",1.00157780460785,0.0213708974464718,1.98425864022336,"dComplex_focus,E","WHAT_Ql","log_diffA1","focus complexity: Easy","p",10,NA,NA,NA
"56",1.52726189727316,0.981568110109321,2.07152681989244,"dComplex_focus,M","WHAT_Ql","log_diffA1","focus complexity: Medium","p",10,NA,NA,NA
"57",1.3886820509474,0.655081539170405,2.11031416254562,"dComplex_focus,H","WHAT_Ql","log_diffA1","focus complexity: Hard","p",10,NA,NA,NA
"58",2.02618061793215,1.26408733408918,2.79307769079133,"dComplex_focus,E","WHAT_Qn","log_diffA1","focus complexity: Easy","p",10,NA,NA,NA
"59",1.91612437264311,1.03785032691657,2.79358481389945,"dComplex_focus,M","WHAT_Qn","log_diffA1","focus complexity: Medium","p",10,NA,NA,NA
"60",1.83841444134633,1.04298205170335,2.6390638499958,"dComplex_focus,H","WHAT_Qn","log_diffA1","focus complexity: Hard","p",10,NA,NA,NA
"61",1.44564829903167,0.328727325497832,2.54585685128972,"dComplex_focus,E","WHERE","log_diffA1","focus complexity: Easy","p",10,NA,NA,NA
