"","mean_CI","low_CI","high_CI","category_combination","focus","question","orderCategoryCombination","filterType","filterValue","X5","significantDifference","sizeSignificantDifference"
"42",0.315789473684211,0.107265052844311,0.524861262945162,"dComplex_focus,H","WHAT_Qn","reverseB","focus complexity: Hard","p",10,NA,NA,NA
"43",0.133333333333333,-0.0377138888043367,0.306740555471003,"dComplex_focus,E","WHERE","reverseB","focus complexity: Easy","p",10,NA,NA,NA
"44",0.541666666666667,0.341180777137454,0.741219222862546,"dComplex_focus,M","WHERE","reverseB","focus complexity: Medium","p",10,NA,NA,NA
"45",0.384615384615385,0.197978365889964,0.572829326417729,"dComplex_focus,H","WHERE","reverseB","focus complexity: Hard","p",10,NA,NA,NA
"46",0.105263157894737,-0.180519995974982,0.39296210123814,"dComplex_focus,E_M","WHAT_Ql","reverseB","focus complexity: Easy-Medium","p",10,"",FALSE,0
"47",0.105263157894737,-0.186798113157712,0.394566534210344,"dComplex_focus,E_H","WHAT_Ql","reverseB","focus complexity: Easy-Hard","p",10,"",FALSE,0
"48",-0.111111111111111,-0.349884638703922,0.131321675740959,"dComplex_focus,M_H","WHAT_Ql","reverseB","focus complexity: Medium-Hard","p",10,"",FALSE,0
"49",0.0476190476190476,-0.262634543624222,0.359520257909936,"dComplex_focus,E_M","WHAT_Qn","reverseB","focus complexity: Easy-Medium","p",10,"",FALSE,0
"50",0,-0.252559259411211,0.253832943621737,"dComplex_focus,E_H","WHAT_Qn","reverseB","focus complexity: Easy-Hard","p",10,"",FALSE,0
"51",0.0526315789473684,-0.255602232866808,0.362086443393123,"dComplex_focus,M_H","WHAT_Qn","reverseB","focus complexity: Medium-Hard","p",10,"",FALSE,0
"52",-0.4,-0.646076470361626,-0.156656862971707,"dComplex_focus,E_M","WHERE","reverseB","focus complexity: Easy-Medium","p",10,"",TRUE,1
"53",-0.2,-0.476289812852812,0.0756098128528122,"dComplex_focus,E_H","WHERE","reverseB","focus complexity: Easy-Hard","p",10,"",FALSE,0
"54",0.208333333333333,-0.0928694045128519,0.516677737846185,"dComplex_focus,M_H","WHERE","reverseB","focus complexity: Medium-Hard","p",10,"",FALSE,0
"55",0.444444444444444,0.213859233113076,0.673451877998035,"dComplex_focus,E","WHAT_Ql","reverseB","focus complexity: Easy","p",15,NA,NA,NA
"56",0.34375,0.178339936558774,0.509647563441226,"dComplex_focus,M","WHAT_Ql","reverseB","focus complexity: Medium","p",15,NA,NA,NA
"57",0.444444444444444,0.261731202489612,0.628794723436313,"dComplex_focus,H","WHAT_Ql","reverseB","focus complexity: Hard","p",15,NA,NA,NA
"58",0.421052631578947,0.199289290274055,0.643384393936471,"dComplex_focus,E","WHAT_Qn","reverseB","focus complexity: Easy","p",15,NA,NA,NA
"59",0.347826086956522,0.152019495983592,0.539458764885973,"dComplex_focus,M","WHAT_Qn","reverseB","focus complexity: Medium","p",15,NA,NA,NA
