cntrQ,diffB,strTotal
31,-1.4071294559099356e-7,idc61-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MEM-fcs_WHAT_Ql-bsln_15.45)54.18)21.41_t-cntrQ_31
32,-0.0000032381689990385634,idc38-eC-wO-qry_gO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MEH-fcs_WHAT_Ql-bsln_3.70)15.47)52.42_t-cntrQ_32
33,-0.000012254901960784313,idc4-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HEE-fcs_WHAT_Ql-bsln_0)33.52)19.21_t-cntrQ_33
34,-0.0000054347826086956525,idc41-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HEM-fcs_WHAT_Ql-bsln_1.15)3.70)56.48_t-cntrQ_34
35,0.000009615384615384616,idc6-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HEH-fcs_WHAT_Ql-bsln_12.84)51.60)22.26_f-cntrQ_35
36,0.000006944444444444445,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EEE-fcs_WHAT_Ql-bsln_12.85)78.73)34.11_f-cntrQ_36
37,-0.0000028735632183908046,idc63-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EEM-fcs_WHAT_Ql-bsln_14.89)84.16)14.89_t-cntrQ_37
38,-0.0000023923444976076554,idc64-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_5-dMask_medium-dCmplx_EEH-fcs_WHAT_Ql-bsln_0)18.69)11.78_t-cntrQ_38
39,-0.000013404825737265415,idc69-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MEE-fcs_WHAT_Ql-bsln_2.46)15.02)20.78_t-cntrQ_39
40,0.00001509633148588018,idc61-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MEM-fcs_WHAT_Ql-bsln_9.86)54.18)17.50_f-cntrQ_40
41,0.000010662525879917184,idc38-eC-wO-qry_gO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MEH-fcs_WHAT_Ql-bsln_4.47)15.47)28.00_f-cntrQ_41
42,0.000019918022287690534,idc4-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_HEE-fcs_WHAT_Ql-bsln_9.80)33.52)14.90_f-cntrQ_42
43,-0.0000031545741324921135,idc41-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_HEM-fcs_WHAT_Ql-bsln_1.15)3.70)23.84_t-cntrQ_43
44,-0.0000033557046979865773,idc6-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_5-dMask_medium-dCmplx_HEH-fcs_WHAT_Ql-bsln_23.98)51.60)32.97_t-cntrQ_44
45,0.000008,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EEE-fcs_WHAT_Ql-bsln_23.83)78.73)29.20_f-cntrQ_45
46,-0.000003205128205128205,idc63-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_8-dMask_hard-dCmplx_EEM-fcs_WHAT_Ql-bsln_16.31)84.16)22.69_t-cntrQ_46
47,0.000004784688995215311,idc64-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_EEH-fcs_WHAT_Ql-bsln_14.02)18.69)43.69_f-cntrQ_47
48,-0.000003090891529025403,idc69-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MEE-fcs_WHAT_Ql-bsln_3.29)15.02)24.69_t-cntrQ_48
49,-0.000014326647564469915,idc61-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_8-dMask_hard-dCmplx_MEM-fcs_WHAT_Ql-bsln_22.53)54.18)29.79_t-cntrQ_49
50,-0.000008503401360544217,idc38-eC-wO-qry_gO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_MEH-fcs_WHAT_Ql-bsln_0)15.47)22.76_t-cntrQ_50
51,9.285714285714296e-7,idc4-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_HEE-fcs_WHAT_Ql-bsln_8.23)33.52)22.74_f-cntrQ_51
52,-0.0000029940119760479042,idc41-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_HEM-fcs_WHAT_Ql-bsln_1.15)3.70)19.21_t-cntrQ_52
53,-0.0000033444816053511705,idc6-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_9-dMask_hard-dCmplx_HEH-fcs_WHAT_Ql-bsln_19.91)51.60)30.40_t-cntrQ_53
54,-0.0000028571428571428573,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_8-dMask_hard-dCmplx_EEE-fcs_WHAT_Ql-bsln_8.87)78.73)14.48_t-cntrQ_54
55,-0.12419528541035901,idc68-fC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EME-fcs_WHERE-bsln_9.24)16.08)45.03_t-cntrQ_55
56,-0.04671342544219198,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EHE-fcs_WHERE-bsln_10.50)14.86)21.44_t-cntrQ_56
57,-0.0747869417383783,idc69-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MEE-fcs_WHERE-bsln_13.52)16.02)15.96_t-cntrQ_57
58,-0.11742351537611934,idc14-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MME-fcs_WHERE-bsln_27.15)20.10)41.44_t-cntrQ_58
59,0.0019133393573792512,idc31-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_MHE-fcs_WHERE-bsln_17.84)18.79)5.95_f-cntrQ_59
60,0.1619305869997243,idc4-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HEE-fcs_WHERE-bsln_17.70)19.96)22.40_f-cntrQ_60
61,0.009757382491139999,idc39-eG-wO-qry_gO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HME-fcs_WHERE-bsln_11.10)15.73)17.72_f-cntrQ_61
62,-0.13973114670964898,idc33-eG-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_HHE-fcs_WHERE-bsln_16.68)18.52)41.50_t-cntrQ_62
63,0.025217617024228145,idc1-eC-gO-qry_wO_gte_1-flips_h1v1-nMasks_3-dMask_easy-dCmplx_EEE-fcs_WHERE-bsln_13.58)15.53)12.76_f-cntrQ_63
64,-0.10756773553732801,idc68-fC-gO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EME-fcs_WHERE-bsln_11.98)16.08)38.74_t-cntrQ_64
65,-0.04583376785872606,idc29-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_EHE-fcs_WHERE-bsln_13.56)14.86)20.91_t-cntrQ_65
66,-0.134167681472947,idc69-eG-rO-qry_wO_gte_1-flips_h1v1-nMasks_6-dMask_medium-dCmplx_MEE-fcs_WHERE-bsln_17.25)16.02)19.37_t-cntrQ_66
